"SVAAS — MASTER EXECUTION ENGINE  |  All Tasks, All Phases, Day 1 to Day 730 #","Dept","Category","Task","Sub-Task / Exact Action","Notes & Dependencies","Priority","Phase","Days","Cost Low","Cost Likely","Cost High","Owner"
"","OPERATIONS","Shipping","Negotiate Shiprocket/Delhivery rates for prepaid orders","As volume grows: negotiate with Shiprocket account manager for better per-shipment rates. Benchmark: 100g-300g shipment should cost Rs.55-75 within South India, Rs.70-90 pan-India.","Shipping cost is a direct margin eroder. Negotiate after first 50 shipments when you have volume data.","MEDIUM","P6","Day 180-210","-","-","-","Operations + Finance"
"","OPERATIONS","Packaging","Set weekly packing schedule","Designate specific days/times for packing. Example: Tuesday and Friday, 10am-2pm. Batch packing is more efficient than packing 1-2 orders ad hoc every day. Pre-stage all materials the night before packing sessions.","Batch packing 20 orders in 2 hours is more efficient than packing 2 orders 10 times a week. Reduces setup/teardown time.","HIGH","P5","Day 90 onwards","-","-","-","Operations"
"","OPERATIONS","Returns","Create returns tracking register","Columns: date, order ID, customer, reason for return, batch number, condition of returned product, resolution (refund/replace/reject), amount refunded, date resolved.","Returns data tells you: most common failure mode, any quality pattern (all from one batch?), whether refund policy is being abused.","HIGH","P5","Day 90 onwards","-","-","-","Operations"
"","OPERATIONS","Customer Service","Write WhatsApp customer service response scripts","Create saved replies for: (1) Order status query. (2) Ingredient question. (3) 'Will it work for my hair type?' (4) Return request. (5) Complaint about product. (6) Bulk/corporate order inquiry. Each script: personal tone, under 100 words, ends with a question or action.","Saved replies reduce response time from 30 minutes to 30 seconds while maintaining quality.","HIGH","P4","Day 63-77","-","-","-","Founder"
"","OPERATIONS","Customer Service","Set up post-delivery review request flow","Klaviyo: Day 10 after delivery — automated email: 'How is your hair feeling after your first 10 days with Svaaskriti?' Single-question form + link to leave a Shopify review + link to leave a Google review.","Day 10 is peak engagement. Before then: too early. After Day 20: interest drops. Hit the window precisely.","HIGH","P5","Day 90-120","-","-","-","Oodles"
"","CUSTOMER","Research","Conduct 10 in-depth customer interviews before launch","Select: 5 beta testers who gave positive feedback + 5 who gave neutral/mixed feedback. 30-minute conversation (in person or video). Questions: tell me about your hair journey, what have you tried before, what disappointed you, what would make you a loyal customer of any brand, what made you try Svaaskriti?","Qualitative interviews reveal insights that forms cannot. The exact words customers use become your best marketing copy.","HIGH","P3","Day 56-84","-","-","-","Founder"
"","CUSTOMER","Research","Create customer interview guide","10 open-ended questions. Avoid: leading questions. Include: tell me about a time, what frustrated you most, if you could change one thing. Record with permission. Transcribe key quotes.","The interview guide makes every conversation yield comparable insights.","MEDIUM","P3","Day 49-56","-","-","-","Founder"
"","CUSTOMER","Research","Build customer persona profiles from interview data","After 10 interviews: identify patterns. Which persona resonates most with actual buyers? Update the 4 personas in the Customer & Market sheet based on real data, not assumptions.","Personas built from real interviews are 10x more useful than assumed personas.","HIGH","P3","Day 84-98","-","-","-","Founder + Marketing"
"","CUSTOMER","Feedback","Deploy 30-day customer survey for first 50 customers","At Day 30 of ownership: 5-question survey via Klaviyo. Questions: (1) How often are you using it? (2) What is your hair feeling like? (3) One word to describe Svaaskriti? (4) Would you buy again? (5) One thing we could improve.","Day 30 data from first 50 customers is your most important early dataset. Use it to refine messaging and identify product improvements.","HIGH","P5","Day 120-150","-","-","-","Marketing + Founder"
"","CUSTOMER","Feedback","Set up repeat customer analysis monthly","In Shopify: tag customers who purchase 2+ times. Monthly: count repeat customers, calculate repeat rate %, identify which SKU combination drives repeat, note average time between first and second order.","Repeat purchase pattern tells you: is the product working? Are customers running out and reordering? Or are they forgetting about it?","HIGH","ONGOING","Monthly","-","-","-","Marketing"
"","CUSTOMER","Feedback","Quarterly NPS survey to full customer base","Send via Klaviyo: 'How likely are you to recommend Svaas to a friend?' 1-10 scale + one open text question. Calculate NPS: (% Promoters minus % Detractors). Target above 50 from Day 180.","NPS above 50 is excellent for a small brand. Below 30: investigate root cause urgently.","HIGH","ONGOING","Quarterly","-","-","-","Marketing"
"","BRAND","Identity","Create brand style guide document","Colours: exact hex codes for plum/wine + cream/off-white. Fonts: primary (headings) + secondary (body). Logo usage rules: minimum size, clear space, forbidden uses. Photography style: mood board with 10 reference images. Tone of voice: 5 adjectives that describe how Svaas writes.","Anyone creating anything for Svaas — Oodles, a freelancer, a packaging vendor — gets this guide. Consistency across every touchpoint is a brand.","CRITICAL","P2","Day 35-49","Rs.2000","Rs.3500","Rs.6000","Oodles + Founder"
"","BRAND","Identity","Create master brand asset folder structure","Google Drive: (1) Logos (all formats: PNG, SVG, black, white, colour). (2) Photography (full-res, web-optimised). (3) Video (brand film, how-to). (4) Templates (Instagram posts, Stories, email). (5) Documents (Brand Constitution, Style Guide, Press Kit). Share access with: Founder, QP (for label work), CA (for official docs).","If the laptop dies tomorrow, are all brand assets recoverable? This folder is your insurance.","HIGH","P2","Day 42-49","-","-","-","Oodles"
"","BRAND","PR","Develop founder media narrative","3 versions of founder story: (1) 30-second elevator pitch. (2) 2-minute media story. (3) 5-minute long-form story. All anchored to: the Chennai beach moment, the 61 ingredients, the all-women team, the Food For Hair philosophy.","Journalists ask the founder story question. Being prepared with 3 formats means you never stumble in an interview.","HIGH","P4","Day 70-84","-","-","-","Founder"
"","BRAND","PR","Build media contact list — beauty and wellness journalists","Target: 15 journalists covering beauty, wellness, D2C brands, women entrepreneurs. Platforms: Vogue India, Femina, GoodHomes, Forbes India Women, Inc42, YourStory, The Hindu MetroPlus, Behindwoods.","PR is a long game. Start building media relationships 60 days before you need them.","MEDIUM","P4","Day 70-84","-","-","-","Marketing"
"","BRAND","Community","Create Svaas 'founding members' programme","First 100 customers are designated Svaas Founding Members. They receive: (1) Personal note from founder. (2) Founding Member discount (10% off for life). (3) Early access to new products. (4) Their name on the Svaas website 'Our Story' page (with consent). This costs almost nothing but creates extraordinary loyalty.","The first 100 customers of any brand are its most valuable. Treat them accordingly.","HIGH","P5","Day 90-120","-","-","-","Founder + Marketing"
"","COMPLIANCE","Licence","Track cosmetic licence renewal date","Add renewal date to Compliance Master tracker. Set calendar reminder 90 days before expiry. Start renewal process 60 days before expiry.","Expired licence = illegal manufacturing. This reminder is worth setting up once on Day 1.","CRITICAL","P1","Day 42-56","-","-","-","Founder + QP"
"","COMPLIANCE","Testing","Conduct microbial testing on every 3rd batch","After initial batch testing passes: retest every 3rd batch. If any batch fails: test every batch until 5 consecutive passes, then revert to every 3rd batch.","Ongoing testing is the difference between knowing and assuming your product is safe.","HIGH","ONGOING","Every 3 batches","Rs.2500","Rs.3500","Rs.5000","QP + Lab"
"","COMPLIANCE","Testing","Annual heavy metals retest","Once per year: send a sample from the latest batch for full heavy metals panel. Compare against original result.","Ingredient quality can change over time. Annual retest ensures continued compliance.","HIGH","ONGOING","Annually","Rs.4000","Rs.5500","Rs.8000","QP + Lab"
"","COMPLIANCE","Documentation","Maintain cosmetic product information file (CPIF)","File must contain: MFR, SOP set, test reports (all), stability data, label specimens, batch records. Inspector can ask for this at any time. Keep physical file + digital backup.","This is your compliance insurance policy. Keep it current.","CRITICAL","P2","Day 42 onwards","-","-","-","QP + Founder"
"","COMPLIANCE","Claims","Annual marketing claims audit","Once per year: review all website copy, all Instagram captions, all packaging text, all sales materials. Check: any claim that has crept into drug territory? Any before/after that makes an implicit treatment promise? Clean up.","Claim drift happens slowly. Annual audit catches it before it becomes a regulatory issue.","HIGH","ONGOING","Annually","Rs.2000","Rs.3000","Rs.5000","Regulatory + Oodles"
"","INNOVATION","Research","Conduct monthly innovation log review","On last Friday of every month: review innovation pipeline sheet. Any customer feedback suggesting a new product? Any market gap identified this month? Any ingredient spotted that is interesting? Log all in the pipeline. Do not act on all of them.","The innovation pipeline should grow continuously. Acting on it: selectively, with evidence.","MEDIUM","ONGOING","Monthly","-","-","-","Founder"
"","INNOVATION","Research","Quarterly product benchmarking session","Every 3 months: buy and evaluate 2-3 competitor new launches or interesting products. Evaluate: formulation, packaging, claims, pricing, unboxing experience. Note: what can Svaas learn?","Not to copy — to stay informed. What is the market doing? Where is Svaas ahead? Where behind?","MEDIUM","ONGOING","Quarterly","Rs.2000","Rs.3000","Rs.5000","Founder"
"","INNOVATION","Pipeline","Formal product gate review at each phase milestone","Before any new SKU is added to the active launch plan: it must pass the 4-question gate: (1) Does it improve AOV? (2) Does it improve gifting? (3) Does it improve retention? (4) Does it have a ritual story? Minimum 2 of 4 required to proceed. Document the gate review outcome.","This gate prevents product proliferation. Every SKU must earn its place.","HIGH","ONGOING","At each milestone","-","-","-","Founder"
"","OODLES","Coordination","Weekly Svaas-Oodles coordination call (30 minutes)","Agenda: (1) Deliverables due this week — status check. (2) Blockers — what does Oodles need from Founder? (3) Next week plan. (4) Any quality issues with recent deliverables? Standing call, same time every week.","30-minute weekly sync prevents 3-hour monthly catch-up sessions and delivery surprises.","HIGH","P2","Weekly from Day 21","-","-","-","Founder + Oodles"
"","OODLES","Coordination","Monthly Oodles deliverable review and billing reconciliation","First Monday of month: review completed deliverables vs plan. Confirm billing for month. Identify any scope creep. Update next month plan.","Formal monthly review prevents billing disputes and scope drift.","HIGH","ONGOING","Monthly","-","-","-","Founder + Oodles"
"","OODLES","Integration","Track Oodles shared infrastructure usage","Log monthly: studio time used for Svaas photography, meeting room time, printing costs, software licences shared. Calculate fair value of infrastructure contribution. Even if not billed, this should be tracked for investor/CA transparency.","Transparent cost tracking of shared resources protects both parties and gives accurate Svaas unit economics.","MEDIUM","ONGOING","Monthly","-","-","-","Finance + Founder"
"","OODLES","Quality","Content quality review — compliance check before posting","Before any Instagram post, email, or website copy goes live: 60-second compliance check. Ask: does this make a drug claim? Does this use before/after language that implies treatment? Does this align with the Brand Constitution? If any answer is yes: flag to Founder before posting.","One non-compliant post can trigger a Drug Controller notice. 60 seconds of review prevents this.","CRITICAL","ONGOING","Per piece of content","-","-","-","Oodles + Founder"
"","STRATEGIC","Year 2","GMP certification — initiate process at Day 365","ISO 22716 Good Manufacturing Practice certification. Required for: export to EU/UAE, major retail chain listing (some require it), Nykaa premium seller programme. Timeline: 3-6 months. Engage a GMP consultant.","GMP is not just a certificate — it upgrades every process in the business. Start Year 2 with this.","HIGH","P8","Day 365-400","Rs.50000","Rs.100000","Rs.150000","Founder + Regulatory"
"","STRATEGIC","Year 2","IEC (Import Export Code) registration","Apply at DGFT portal: fee Rs.500, 2-3 working days. Required before any export. No reason not to do this at Day 365 — it is quick, cheap, and enables future export options.","File this even if export is 18 months away. It takes 2 days and costs Rs.500.","MEDIUM","P8","Day 365-380","Rs.500","Rs.500","Rs.500","CA + Founder"
"","STRATEGIC","Year 2","Evaluate UAE export pilot","UAE has the largest Indian diaspora in the world. Premium Ayurvedic hair oil has strong NRI appeal. Requirements: UAE product registration (CPNP-equivalent), Arabic label, UAE importer/distributor. Engage export consultant.","Start research at Day 450. First export consignment realistic at Day 540-600.","MEDIUM","P8","Day 450-550","Rs.25000","Rs.50000","Rs.1,00,000","Founder + Regulatory"
"","STRATEGIC","Year 2","Nykaa seller programme application","Apply after: 100+ website reviews, Rs.1 lakh/month revenue, GMP certification. Prepare: brand story doc, licence copy, test reports, product photography (white background, Nykaa format), product descriptions in Nykaa format.","Nykaa brings discovery to a national audience. Apply when you are ready — not before.","HIGH","P8","Day 400-450","-","-","-","Marketing + Founder"
"","STRATEGIC","Year 2","Conduct Year 1 retrospective (full day)","Annual review: revenue vs plan, top 10 learnings, what worked beyond expectation, what did not work, product portfolio review, customer insights summary, Year 2 priorities (3 max). Write a 1-page Year 1 summary document.","The Year 1 retrospective is the single most valuable planning session of the business. Block a full day for it.","HIGH","P8","Day 360-365","-","-","-","Founder"
"","FOUNDER","Decision","Lock brand name this week — numerology shortlist to MCA check","Step 1: produce shortlist of 3 names from numerology or naming process. Step 2: for each name — check MCA (mca.gov.in company search), IP India Class 3 search, domain .in availability. Step 3: pick the name that clears all three. Step 4: log decision in Decision Register with rationale.","This is the Day 1 task. Nothing can proceed — LLP, domain, trademark, label — until the name is locked.","CRITICAL","P0","Day 1-5","-","-","-","Founder"
"","FOUNDER","Decision","Commit to soft launch date in calendar","Pick a specific target date for soft launch (Day 90-120 range). Write it down. Tell 5 people. This creates accountability and works backward to create urgency on every preceding task.","A target without a date is a wish. A target with a date is a commitment.","HIGH","P0","Day 1-7","-","-","-","Founder"
"","FOUNDER","Decision","Define personal success metrics for Year 1","Write down: what does success look like at the end of Year 1? Specific numbers: revenue, customers, NPS, channels, team. These become the KPI targets. Review quarterly. Revise if needed.","Founder clarity on success metrics prevents drift and prevents measuring the wrong things.","HIGH","P0","Day 7-14","-","-","-","Founder"
"","FOUNDER","Wellbeing","Protect minimum 1 day per week from operations","Designate one day per week (Sunday, or any day) where Founder does no packing, no customer service, no WhatsApp. For strategic thinking, rest, and creative work only. Write this into the weekly schedule from Month 1.","Founder burnout is the single largest business risk for Svaas. Structure rest before it becomes a crisis.","HIGH","ONGOING","Weekly","-","-","-","Founder"
"","FOUNDER","Review","Set up monthly 1-hour founder review ritual","First Friday of each month, 10am-11am. Same time every month. Agenda is in the Founder Register sheet. Close the laptop, no phone, just the numbers and a notepad. Write 3 priorities for next month at the end of every session.","This one hour per month is worth more than 40 hours of reactive work. It is the only time to think about the business rather than in it.","HIGH","ONGOING","Monthly","-","-","-","Founder"
"","FOUNDER","Review","Annual 1-day strategic offsite (solo or with advisor)","Once per year: take a full day away from the office. Review: where did the business go vs plan? What are the 3 biggest strategic choices for next year? What should Svaas stop doing? What should it double down on? Write a 1-page Year Ahead document.","Annual thinking time is what separates brands that drift from brands that build intentionally.","HIGH","ONGOING","Annually","-","Rs.5000","Rs.15000","Founder"
"","FOUNDER","Knowledge","Create business continuity document","One document containing: all vendor contacts and backup contacts, formula vault location, all login credentials (stored in a password manager, shared with one trusted person), bank account details, CA contact, regulatory consultant contact, QP contact. Store: Google Drive + physical copy in locked location.","If the founder is unreachable for 2 weeks, could someone keep the business running? This document makes that possible.","CRITICAL","P2","Day 35-42","-","-","-","Founder"
"","FOUNDER","Backlog","Review opportunity backlog monthly","Every month: add new opportunities heard during the month to the backlog in the Founder Register sheet. Remove opportunities that are no longer relevant. Pick 1 opportunity to evaluate formally each quarter.","The backlog prevents good ideas from getting lost while ensuring the present is not distracted by future possibilities.","MEDIUM","ONGOING","Monthly","-","-","-","Founder"
"","SUPPLY CHAIN","Sourcing","Visit Koyambedu wholesale market for herb evaluation","In-person visit to Chennai's Koyambedu wholesale market. Purpose: identify vendors for dried herbs (Bhringraj, Amla, Hibiscus, Curry Leaves, Methi, Shikakai). Get 3 prices per ingredient. Buy small samples. Note: vendor name, stall number, mobile.","Personal relationships with market vendors get better quality and better prices than buying blind.","HIGH","P1","Day 14-28","Rs.500","Rs.1000","Rs.2000","Operations"
"","SUPPLY CHAIN","Sourcing","Source Siddha medicine ingredients from specialist suppliers","Visit: Nattar Pettai area, Chennai Bypass Road Siddha suppliers. Required: Magizhmpoo (Spanish Cherry Flower), Anjanakal (Surma Stone), Korai Kilangu (Nut Grass), Ponnanganni. These cannot be found at general herb markets.","These rare Tamil ingredients are your brand differentiators. Secure supply before committing to them in formula.","CRITICAL","P1","Day 14-28","Rs.1000","Rs.2000","Rs.4000","Operations"
"","SUPPLY CHAIN","Sourcing","Request Certificate of Analysis from all EO vendors","For every essential oil ordered: request CoA showing: botanical name, country of origin, specific gravity, refractive index, GC/MS result. Reject any lot without CoA. File all CoAs in compliance folder.","CoA is the only way to verify EO authenticity. Adulterated EOs are common in the Indian market.","CRITICAL","P2","Day 28-42","-","-","-","Operations + QP"
"","SUPPLY CHAIN","Sourcing","Build direct relationship with 1 Kannauj EO supplier","Travel to or video call with a Kannauj supplier (SN Perfumeries or similar). Place first order. Request: frankincense, bergamot, lavender, patchouli, ylang ylang, vetiver. Get pricing for 100g and 500g quantities.","Direct Kannauj relationship = 30-40% lower cost than buying EOs through Chennai distributors.","HIGH","P2","Day 21-42","Rs.3000","Rs.6000","Rs.12000","Operations"
"","SUPPLY CHAIN","Planning","Create ingredient consumption tracker","Google Sheet: for each batch, record exact quantity of each ingredient used vs MFR quantity. Monthly total consumption by ingredient. This builds 6-month consumption data to predict reorder quantities accurately.","After 3 months of data: reorder quantities become precise instead of estimated.","HIGH","P3","Day 56-70","-","-","-","Operations"
"","SUPPLY CHAIN","Planning","Set minimum stock levels for all Tier 1 ingredients","For each Tier 1 ingredient: calculate minimum stock = (batches per month x quantity per batch x lead time in months) + safety buffer. Write on label of storage container. Never go below this level.","Visual minimum stock markers prevent the most common operational crisis: discovering an ingredient is out the morning of a planned batch.","HIGH","P2","Day 42-56","-","-","-","Operations"
"","SUPPLY CHAIN","Planning","Create monthly procurement plan","On the 25th of each month: review current RM inventory, planned batches for next month, current stock vs minimum levels. Generate list of ingredients to order. Place all orders by 28th to ensure delivery before month-end.","Batch procurement once a month is more efficient than ad-hoc daily ordering.","HIGH","ONGOING","Monthly","-","-","-","Operations"
"","SUPPLY CHAIN","Risk","Identify and pre-qualify 2 backup vendors per Tier 1 ingredient","For coconut oil, sesame oil, jojoba oil, argan oil: identify and order a small sample from a backup vendor. Confirm: quality acceptable, delivery reliable. Keep contact active with small quarterly orders if needed.","A backup vendor list that was never tested is not a backup. Pre-qualify by actually ordering.","HIGH","P2","Day 28-49","Rs.2000","Rs.4000","Rs.7000","Operations"
"","SUPPLY CHAIN","Quality","Create ingredient rejection log","For every ingredient lot rejected (wrong colour, wrong odour, weight discrepancy, no CoA): log: date, vendor, ingredient, quantity, reason for rejection, action taken (returned/destroyed). Share with vendor on rejection.","Rejection logs create accountability with vendors. A vendor who gets 2 rejections in a row either improves or loses the account.","HIGH","ONGOING","Per rejection","-","-","-","Operations"
"","MANUFACTURING","Process","Conduct first full production run with BMR documentation","First batch after licence and MFR are locked: run the complete hair oil process with BMR filled in real time. QP present. Every step timed and documented. This run validates the SOP and establishes the baseline.","The first documented production run is the most important one. Every subsequent run is measured against it.","CRITICAL","P2","Day 49-63","-","-","-","Founder + QP + Manufacturing"
"","MANUFACTURING","Process","Calculate exact batch yield percentage","Theoretical yield: 10L batch = 100 units of 100ml. Actual yield after losses (filtration, transfer, filling waste): measure carefully. Calculate yield percentage. Target: above 92%.","Yield below 90% means either the SOP has waste inefficiencies or the fill volume is inconsistent.","HIGH","P2","Day 56-70","-","-","-","Manufacturing + QP"
"","MANUFACTURING","Process","Time each production stage and log in BMR","For first 3 batches: time each stage. Fresh ingredient cooking: how many minutes? Infusion: exactly how many hours? Cooling: how long? Filling 100 bottles: how long? Total batch time: how many hours?","Time data becomes the production planning input. Without it, batch scheduling is guesswork.","HIGH","P2","Day 56-84","-","-","-","Manufacturing"
"","MANUFACTURING","Process","Create visual SOP cards for manufacturing room wall","Print and laminate A4 cards for: (1) Batch numbering format. (2) EO addition temperature limit (40 degrees C — in large red text). (3) QC checkpoint checklist. (4) Emergency contacts. Post at eye level in manufacturing area.","Visual cues in the manufacturing space prevent errors better than written documents that live in a folder.","HIGH","P2","Day 42-56","Rs.500","Rs.1000","Rs.2000","Operations + Oodles"
"","MANUFACTURING","Capacity","Document current maximum monthly capacity","With current setup (20L vessel x2, 1 operator): maximum batches per week = 2 (each batch is 1 full day). Maximum units per month = 200. Document this as the Phase 1 capacity ceiling.","Knowing the ceiling prevents over-promising on delivery timelines.","HIGH","P2","Day 63-70","-","-","-","Manufacturing"
"","MANUFACTURING","Capacity","Define capacity upgrade decision criteria","Trigger for Upgrade 1 (add second 20L vessel): orders exceed 150/month for 2 consecutive months. Trigger for Upgrade 2 (add 50L vessel): orders exceed 400/month. Trigger for Upgrade 3 (dedicated space): monthly revenue exceeds Rs.5 lakh consistently.","Pre-define upgrade triggers so the decision is not made reactively in a crisis.","HIGH","P2","Day 63-70","-","-","-","Founder + Operations"
"","MANUFACTURING","Bath Salts","Manufacture first bath salt test batches (Heart and Root Chakra)","Make 20-unit test batches of each variant. Test: dissolution in warm water (complete within 2 minutes), fragrance release, no oil separation, no colour staining on white towel, skin feel after 15-minute soak.","Bath salt test is quick (2 hours per batch). Complete before committing to full packaging run.","HIGH","P3","Day 42-56","Rs.2000","Rs.3500","Rs.5000","Manufacturing"
"","MANUFACTURING","Documentation","Photograph each stage of first production run","Take photos: ingredient weights on scale, vessels in use, filtration, filling, finished product. These photos (a) document the process for training future staff, (b) become behind-the-scenes Instagram content, (c) show regulators your process.","One 2-hour photo session at first production run creates 3 months of behind-the-scenes content.","MEDIUM","P2","Day 56-63","-","-","-","Founder + Oodles"
"","TESTING","Validation","Define specific outcome metrics for beta testing","Before distributing beta bottles, define: what counts as positive feedback? What are the 5 measurable outcomes to track? Suggested: (1) reduced hair fall count (can use comb test), (2) scalp itch/dryness rating 1-10, (3) shine assessment (testers photograph in natural light), (4) frizz 1-5 rating, (5) fragrance satisfaction 1-5.","Without pre-defined metrics, beta feedback is vague. With metrics, it is evidence.","HIGH","P3","Day 35-42","-","-","-","Founder"
"","TESTING","Validation","Create standardised before-photo protocol for beta testers","Send instructions: (1) Clean hair, no product. (2) Natural daylight, same spot every time. (3) Photo from same 3 angles: front, left side, right side. (4) Photo after oiling — note any visible scalp improvement.","Standardised photos are comparable. Random photos are not. This protocol takes 10 minutes to write and saves hours of unusable before/afters.","HIGH","P3","Day 42-49","-","-","-","Founder"
"","TESTING","Salon","Debrief each salon after 2-week professional trial","For each salon: scheduled 20-minute call. Questions: (1) Which clients did you use it on? (2) What was their immediate feedback after treatment? (3) Did any clients ask to purchase? (4) What would you change about the product or packaging for salon use? (5) Would you add a scalp treatment service using Svaaskriti to your menu?","Salon professional feedback is qualitatively different from consumer feedback. More technical, more honest.","HIGH","P3","Day 84-98","-","-","-","Founder + Sales"
"","TESTING","Retail","Conduct informal retail user test at Day 150","At first retail store that agrees to stock: observe 3 customers who pick up the product. Do they read the label? Do they smell the tester? What makes them put it back? What makes them buy? Do not intervene. Just observe.","Shelf behaviour observation reveals purchase barriers that no survey or interview can.","HIGH","P5","Day 150-180","-","-","-","Founder"
"","TESTING","Exhibition","Use first exhibition as structured test","At first exhibition (Day 90-120): track: (1) How many people stopped at stall? (2) How many smelled the product? (3) What was the most common question asked? (4) How many bought on the day? (5) Most common objection heard? Log in real time on phone notes.","Every exhibition is also market research. Structure the observation before the event.","HIGH","P5","Day 90-120","-","-","-","Founder"
"","TESTING","Feedback","Build objection database from all testing channels","Maintain a running list of every objection heard: from beta testers, exhibitions, retail observation, WhatsApp enquiries, Instagram comments. Categorise: price, fragrance, efficacy doubt, ingredient concern, competitor loyalty. Update monthly. Use to improve content and product.","The objection database is a goldmine. Every objection is a conversion opportunity if addressed correctly.","HIGH","ONGOING","Monthly update","-","-","-","Marketing + Founder"
"","CUSTOMER","Retention","Set up 45-day reorder reminder flow","Klaviyo: 45 days after first purchase, if customer has NOT purchased again — send: 'Running low on Svaaskriti? Your hair has had 45 days of nourishment. Keep the ritual going.' Single CTA button to reorder. Offer: free shipping on reorder.","Hair oil usage at recommended frequency: 100ml lasts 35-50 days. 45-day trigger catches the natural reorder window.","HIGH","P5","Day 120-150","-","-","-","Oodles"
"","CUSTOMER","Retention","Set up birthday email with special offer","Klaviyo: collect birthday month at checkout (optional field). Send birthday email in birthday month: 'Happy Birthday from Svaas — a little gift for your hair' + 15% off code valid for 7 days.","Birthday emails have the highest open rate of any automated email (60-80%). Personalisation at near-zero cost.","HIGH","P6","Day 180-210","-","-","-","Oodles"
"","CUSTOMER","Retention","Identify and personally call top 10 customers monthly","In Shopify: filter by highest LTV. Top 10 customers every month get a personal WhatsApp from Founder: 'How is your hair? Anything you want to tell us?' No sales pitch. Just relationship.","Personal attention from the founder is something a Rs.1,000 crore company cannot offer. Use it while you can.","HIGH","ONGOING","Monthly","-","-","-","Founder"
"","CUSTOMER","Community","Launch UGC (user-generated content) programme","Ask every customer who leaves a photo review: permission to repost on Instagram. Create a template response: 'Thank you [name] — your transformation is beautiful. May we share this on our page?' Tag them. Credit them.","UGC is the most trusted form of content. It costs zero rupees and converts 4-6x better than brand-created content.","HIGH","P5","Day 120 onwards","-","-","-","Marketing"
"","CUSTOMER","Service","Create escalation protocol for complex complaints","Level 1 (general query): Operations handles via WhatsApp scripts. Level 2 (product dissatisfaction): Founder personally calls within 24 hours. Level 3 (adverse reaction/serious complaint): Founder + QP + Regulatory Consultant involved within 6 hours.","Clear escalation levels prevent both under-response (ignored complaints) and over-response (founder personally calling about a delayed delivery).","HIGH","P5","Day 90-105","-","-","-","Founder + Operations"
"","CUSTOMER","Research","Track which content brings new customers","UTM parameters in all marketing links. Monthly review: which Instagram post, which blog article, which influencer drove the most website sessions and most purchases? Double down on what works.","Without UTM tracking, you are guessing which marketing works. With it, you know.","HIGH","P4","Day 63-77","-","-","-","Oodles"
"","INNOVATION","Research","Set up Google Alerts for: Ayurvedic hair oil, natural hair care India, wellness D2C India","Free automated monitoring of: competitor news, market trends, ingredient research, media coverage. Review weekly digest. Flag anything relevant to the innovation pipeline.","10 minutes of setup, 5 minutes of weekly review. Keeps founder informed without active research time.","LOW","P2","Day 21-28","-","-","-","Founder"
"","INNOVATION","Pipeline","Customer-driven product request log","Every time a customer asks: 'Do you have a conditioner? A hair mask? A shampoo? A body lotion?' — log it. After 10 requests for the same product: add to innovation pipeline for formal evaluation.","Product development driven by customer requests has a much higher success rate than product development driven by founder intuition alone.","MEDIUM","ONGOING","Per request","-","-","-","Founder + Marketing"
"","INNOVATION","Packaging","Evaluate sustainable packaging options at Day 365","At Year 1: compare cost of current packaging vs: recycled label stock, FSC-certified kraft board, biodegradable shrink wrap. If premium is less than 15%: switch. Communicate switch to customers.","Sustainability upgrade becomes easier to justify as revenue scales. Plan the switch at Year 1, not Year 3.","LOW","P8","Day 360-380","-","Rs.5000","Rs.15000","Operations + Finance"
"","STRATEGIC","Brand","Commission brand health study at Day 270","Survey 50 people (mix of customers and non-customers): (1) Have you heard of Svaas? (2) What do you associate with the brand? (3) What would make you try it? (4) What would stop you? This is your first brand awareness measurement.","Brand health data at Day 270 shows whether the positioning is landing. Before spending more on marketing, know what is actually being heard.","MEDIUM","P7","Day 260-270","Rs.5000","Rs.8000","Rs.15000","Marketing + Founder"
"","STRATEGIC","Partnerships","Evaluate women entrepreneur grant and funding schemes","Research: SIDBI Women Entrepreneur schemes, TN government women startup grants, NSIC/KVIC schemes for women-led MSME, Mahila Udyam Nidhi scheme. Many require: MSME registration, 2 years of operation, or specific sector focus.","Even if not immediately eligible: understand the landscape so you are ready when you are.","MEDIUM","P6","Day 180-210","-","-","-","Founder + CA"
"","STRATEGIC","Scale","Plan for Rs.1 crore ARR milestone","Work backward from Rs.1 Cr ARR: Rs.8.3 lakh MRR = roughly 1,200-1,500 units per month at Rs.599-650 ASP. What team, space, equipment, and marketing spend is needed? Model it at Day 365 and build the Year 2 plan around it.","Rs.1 Cr ARR is the first landmark. Planning for it before you are close means you are not scrambling when you arrive.","HIGH","P8","Day 365","-","-","-","Founder + Finance"
"","STRATEGIC","Compliance","Research cruelty-free certification (PETA / Leaping Bunny)","Application process: confirm no animal testing at any stage of supply chain, sign pledge, pay annual fee. PETA PETA-approved vegan: Rs.10,000-20,000. Leaping Bunny: USD 500+.","Cruelty-free certification is increasingly demanded by urban premium customers. Apply at Day 180 when supply chain is documented.","MEDIUM","P6","Day 180-210","Rs.10000","Rs.15000","Rs.25000","Founder + Regulatory"
"","STRATEGIC","Growth","Evaluate subscription commerce at Day 270","Shopify has built-in subscription apps (Bold Subscriptions, ReCharge). Offer: monthly auto-delivery of hair oil at 10% discount. Target: 50 active subscribers by Day 365. Subscribers have 4x higher LTV than one-time buyers.","Subscription revenue is the most predictable revenue. Even 50 subscribers at Rs.539/month = Rs.26,950 guaranteed monthly.","MEDIUM","P7","Day 270-300","Rs.3000","Rs.5000","Rs.10000","Oodles + Marketing"
